Table 6 
Mid-transit Times for Kepler 51b Including Those Determined from the HST-observed Transits


Epoch	t_0 (BJD-2454,833)	1sigma_lower	1sigma_upper	${\chi }_{r}^{2}$	
0	159.11020	0.00117	0.00138	1.38	
1	204.26341	0.00116	0.00094	1.24	
2	249.41429	0.00148	0.00165	1.32	
3	294.57387	0.00182	0.00180	0.98	
4	339.72659	0.00157	0.00168	0.98	
5	384.87849	0.00109	0.00126	1.28	
6	430.03431	0.00105	0.00103	0.89	
8	520.34296	0.00140	0.00150	0.86	
9	565.50058	0.00171	0.00169	1.67	
10	610.65750	0.00116	0.00126	0.80	
11	655.81281	0.00107	0.00130	1.17	
12	700.97563	0.00187	0.00208	2.78	
13	746.12681	0.00126	0.00153	0.84	
14	791.28725	0.00158	0.00170	0.75	
15	836.44031	0.00200	0.00214	1.12	
16	881.59877	0.00096	0.00096	0.82	
17	926.75401	0.00231	0.00165	1.35	
18	971.90560	0.00154	0.00141	1.28	
19	1017.06093	0.00192	0.00165	1.01	
20	1062.21173	0.00171	0.00188	1.98	
21	1107.36679	0.00101	0.00105	0.92	
22	1152.52080	0.00086	0.00087	1.00	
23	1197.67694	0.00089	0.00088	0.93	
24	1242.83033	0.00091	0.00095	0.99	
25	1287.98438	0.00086	0.00087	0.93	
26	1333.14164	0.00089	0.00089	1.03	
27	1378.29828	0.00090	0.00088	0.96	
28	1423.45432	0.00091	0.00088	1.03	
29	1468.61332	0.00088	0.00088	1.02	
51	2462.03211	0.00203	0.00149	1.01	
57	2732.95267	0.00303	0.00286	1.13	
