Table 8 
Mid-transit Times for Kepler 51d Including Those Determined from the HST-observed Transits


Epoch	t_0 (BJD-2,454,833)	1sigma_lower	1sigma_upper	${\chi }_{r}^{2}$	
0	212.02419	0.00086	0.00087	1.34	
1	342.20768	0.00087	0.00086	1.27	
2	472.39081	0.00097	0.00099	1.84	
3	602.57368	0.00085	0.00085	1.39	
5	862.93204	0.00121	0.00120	2.23	
6	993.10486	0.00094	0.00092	1.45	
7	1123.28462	0.00075	0.00073	1.12	
8	1253.45065	0.00135	0.00133	2.07	
9	1383.63021	0.00065	0.00066	0.93	
18	2555.20049	0.00150	0.00099	1.35	
21	2945.75330	0.00107	0.00139	1.22	
